python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 01 | T_Loss: 0.0864 T_Acc@1: 0.0674 T_Acc@5: 0.3390 | V_Loss: 0.0735 V_Acc@1: 0.1044 V_Acc@5: 0.4499 | LR: 1.0e-03
Ep 02 | T_Loss: 0.0763 T_Acc@1: 0.0970 T_Acc@5: 0.4155 | V_Loss: 0.0703 V_Acc@1: 0.1044 V_Acc@5: 0.4881 | LR: 1.0e-03
Ep 03 | T_Loss: 0.0707 T_Acc@1: 0.1068 T_Acc@5: 0.4586 | V_Loss: 0.0680 V_Acc@1: 0.1214 V_Acc@5: 0.4830 | LR: 1.0e-03
Ep 04 | T_Loss: 0.0697 T_Acc@1: 0.1085 T_Acc@5: 0.4626 | V_Loss: 0.0667 V_Acc@1: 0.1126 V_Acc@5: 0.4950 | LR: 1.0e-03
Ep 05 | T_Loss: 0.0688 T_Acc@1: 0.1158 T_Acc@5: 0.4654 | V_Loss: 0.0672 V_Acc@1: 0.1209 V_Acc@5: 0.4941 | LR: 1.0e-03
Ep 06 | T_Loss: 0.0688 T_Acc@1: 0.1141 T_Acc@5: 0.4733 | V_Loss: 0.0662 V_Acc@1: 0.1198 V_Acc@5: 0.4919 | LR: 1.0e-03
Ep 07 | T_Loss: 0.0681 T_Acc@1: 0.1166 T_Acc@5: 0.4796 | V_Loss: 0.0660 V_Acc@1: 0.1133 V_Acc@5: 0.5040 | LR: 1.0e-03
Ep 08 | T_Loss: 0.0681 T_Acc@1: 0.1093 T_Acc@5: 0.4761 | V_Loss: 0.0658 V_Acc@1: 0.1234 V_Acc@5: 0.4957 | LR: 1.0e-03
Ep 09 | T_Loss: 0.0684 T_Acc@1: 0.1095 T_Acc@5: 0.4797 | V_Loss: 0.0656 V_Acc@1: 0.1212 V_Acc@5: 0.5017 | LR: 1.0e-03
Ep 10 | T_Loss: 0.0680 T_Acc@1: 0.1182 T_Acc@5: 0.4822 | V_Loss: 0.0681 V_Acc@1: 0.1082 V_Acc@5: 0.4705 | LR: 1.0e-03
Ep 11 | T_Loss: 0.0673 T_Acc@1: 0.1215 T_Acc@5: 0.4802 | V_Loss: 0.0665 V_Acc@1: 0.1055 V_Acc@5: 0.4916 | LR: 1.0e-03
Ep 12 | T_Loss: 0.0681 T_Acc@1: 0.1191 T_Acc@5: 0.4766 | V_Loss: 0.0658 V_Acc@1: 0.1283 V_Acc@5: 0.5035 | LR: 1.0e-03
Ep 13 | T_Loss: 0.0677 T_Acc@1: 0.1156 T_Acc@5: 0.4797 | V_Loss: 0.0667 V_Acc@1: 0.1209 V_Acc@5: 0.4988 | LR: 1.0e-03
Ep 14 | T_Loss: 0.0674 T_Acc@1: 0.1113 T_Acc@5: 0.4886 | V_Loss: 0.0649 V_Acc@1: 0.1064 V_Acc@5: 0.4931 | LR: 1.0e-03
Ep 15 | T_Loss: 0.0674 T_Acc@1: 0.1129 T_Acc@5: 0.4822 | V_Loss: 0.0676 V_Acc@1: 0.1271 V_Acc@5: 0.4823 | LR: 1.0e-03
Ep 16 | T_Loss: 0.0669 T_Acc@1: 0.1146 T_Acc@5: 0.4861 | V_Loss: 0.0649 V_Acc@1: 0.1189 V_Acc@5: 0.5013 | LR: 1.0e-03
Ep 17 | T_Loss: 0.0669 T_Acc@1: 0.1171 T_Acc@5: 0.4915 | V_Loss: 0.0648 V_Acc@1: 0.1169 V_Acc@5: 0.5026 | LR: 1.0e-03
Ep 18 | T_Loss: 0.0670 T_Acc@1: 0.1176 T_Acc@5: 0.4886 | V_Loss: 0.0645 V_Acc@1: 0.1089 V_Acc@5: 0.4959 | LR: 1.0e-03
Ep 19 | T_Loss: 0.0668 T_Acc@1: 0.1162 T_Acc@5: 0.4852 | V_Loss: 0.0658 V_Acc@1: 0.1189 V_Acc@5: 0.5052 | LR: 1.0e-03
Ep 20 | T_Loss: 0.0671 T_Acc@1: 0.1118 T_Acc@5: 0.4954 | V_Loss: 0.0651 V_Acc@1: 0.1247 V_Acc@5: 0.5038 | LR: 1.0e-03
Ep 21 | T_Loss: 0.0664 T_Acc@1: 0.1150 T_Acc@5: 0.4970 | V_Loss: 0.0648 V_Acc@1: 0.1111 V_Acc@5: 0.5026 | LR: 1.0e-03
Ep 22 | T_Loss: 0.0667 T_Acc@1: 0.1167 T_Acc@5: 0.4837 | V_Loss: 0.0668 V_Acc@1: 0.1169 V_Acc@5: 0.4924 | LR: 1.0e-03
Ep 23 | T_Loss: 0.0665 T_Acc@1: 0.1238 T_Acc@5: 0.4988 | V_Loss: 0.0647 V_Acc@1: 0.1180 V_Acc@5: 0.5026 | LR: 1.0e-03
Ep 24 | T_Loss: 0.0668 T_Acc@1: 0.1176 T_Acc@5: 0.4873 | V_Loss: 0.0647 V_Acc@1: 0.1156 V_Acc@5: 0.4982 | LR: 1.0e-03
Ep 25 | T_Loss: 0.0660 T_Acc@1: 0.1187 T_Acc@5: 0.4906 | V_Loss: 0.0650 V_Acc@1: 0.1113 V_Acc@5: 0.5006 | LR: 1.0e-03
Ep 26 | T_Loss: 0.0662 T_Acc@1: 0.1193 T_Acc@5: 0.4969 | V_Loss: 0.0652 V_Acc@1: 0.1143 V_Acc@5: 0.4920 | LR: 1.0e-03
Ep 27 | T_Loss: 0.0665 T_Acc@1: 0.1141 T_Acc@5: 0.4902 | V_Loss: 0.0652 V_Acc@1: 0.1191 V_Acc@5: 0.4982 | LR: 1.0e-03
Ep 28 | T_Loss: 0.0661 T_Acc@1: 0.1213 T_Acc@5: 0.4862 | V_Loss: 0.0644 V_Acc@1: 0.1100 V_Acc@5: 0.5045 | LR: 1.0e-03
